From,To,Type,Amount,Payment Method,Card Number,Expiry Date,CVV,Account Number,IFSC Code,Contact Number,Date,is_suspicious,suspicion_reasons,timestamp
user1,user2,card,60,Contact Payment,-,02/29,-,-,-,1234567890,"03/04/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-04 13:24:16.655454
user1,user2,contact,372,Card Payment,-,02/29,-,9876543210,-,1234567890,"02/24/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-24 13:24:16.656449
user1,user2,neft,122,NEFT Transfer,1234567890123456,-,-,-,-,+14155552671,"02/16/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-16 13:24:16.656449
user1,user2,contact,453,Contact Payment,-,02/29,111,9876543210,SBIN1234567,+14155552671,"03/11/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-11 13:24:16.656449
user1,user2,contact,404,Contact Payment,1234567890123456,-,-,-,-,+441632960961,"02/26/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-26 13:24:16.656449
user1,user2,neft,415,Card Payment,-,02/29,-,-,-,9152251477,"02/18/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-18 13:24:16.656449
user1,user2,contact,495,NEFT Transfer,-,-,-,-,SBIN1234567,+14155552671,"03/12/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-12 13:24:16.656449
user1,user2,card,81,Card Payment,1234567890123456,-,-,9876543210,SBIN1234567,9152251477,"02/25/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-25 13:24:16.656449
user1,user2,card,444,Contact Payment,-,-,-,9876543210,SBIN1234567,+14155552671,"02/19/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-19 13:24:16.656449
user1,user2,card,323,Card Payment,-,-,111,9876543210,SBIN1234567,+441632960961,"03/07/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-07 13:24:16.656449
user1,user2,card,103,Contact Payment,-,02/29,-,9876543210,SBIN1234567,9152251477,"03/10/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-10 13:24:16.656449
user1,user2,neft,404,Contact Payment,1234567890123456,02/29,-,9876543210,SBIN1234567,1234567890,"03/13/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-13 13:24:16.656449
user1,user2,card,348,Contact Payment,-,02/29,111,-,SBIN1234567,1234567890,"03/09/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-09 13:24:16.656449
user1,user2,contact,45,Card Payment,1234567890123456,02/29,-,-,-,+441632960961,"02/21/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-21 13:24:16.656449
user1,user2,card,407,NEFT Transfer,1234567890123456,02/29,-,-,-,1234567890,"02/18/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-18 13:24:16.656449
user1,user2,neft,298,Card Payment,1234567890123456,02/29,-,9876543210,SBIN1234567,+14155552671,"03/05/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-05 13:24:16.656449
user1,user2,contact,213,NEFT Transfer,1234567890123456,02/29,111,9876543210,-,9152251477,"03/07/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-07 13:24:16.656449
user1,user2,neft,285,NEFT Transfer,-,02/29,111,9876543210,-,9152251477,"03/06/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-06 13:24:16.656449
user1,user2,contact,205,Contact Payment,1234567890123456,02/29,111,-,SBIN1234567,+441632960961,"02/26/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-26 13:24:16.656449
user1,user2,card,180,Card Payment,1234567890123456,-,111,-,-,+14155552671,"03/05/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-05 13:24:16.656449
user1,user2,neft,474,NEFT Transfer,1234567890123456,-,111,-,-,9152251477,"02/24/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-24 13:24:16.656449
user1,user2,contact,148,Contact Payment,1234567890123456,02/29,111,9876543210,SBIN1234567,1234567890,"03/08/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-08 13:24:16.656449
user1,user2,neft,492,NEFT Transfer,1234567890123456,02/29,111,9876543210,SBIN1234567,+441632960961,"03/05/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-05 13:24:16.656449
user1,user2,neft,32,NEFT Transfer,1234567890123456,-,-,-,-,+14155552671,"03/01/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-01 13:24:16.656449
user1,user2,card,106,Contact Payment,-,02/29,-,-,SBIN1234567,+441632960961,"02/23/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-23 13:24:16.656449
